epoch,vf-min,discriminator_reward-min,gmm-log-sigs-mean,gmm-log-sigs-max,gmm-log-sigs-min,gmm-mus-min,log_p_z-max,gmm-mus-std,log_p_z-avg,discriminator-loss,qf-min,time-train,time-eval,qf-max,z-entropy,vf-std,best_single_option_policy/episode-length-avg,log_p_z-min,discriminator_reward-max,gmm-log-w-max,pool-size,gmm-mus-max,max-path-return,best_single_option_policy/return-max,qf-avg,gmm-log-w-mean,vf-max,best_single_option_policy/return-average,last-path-return,best_single_option_policy/episode-length-max,discriminator_reward-avg,vf-loss,time-sample,gmm-log-sigs-std,best_single_option_policy/return-min,qf-std,policy-reg-loss,best_single_option_policy/episode-length-min,bellman-error,best_single_option_policy/episode-length-std,log_p_z-std,time-total,kl-surrogate-loss,best_single_option_policy/return-std,vf-avg,gmm-log-w-min,path-length,episodes,gmm-log-w-std,gmm-mus-mean,discriminator_reward-std
0,-0.019646922,-3.8963938,-0.06627175,-0.01417092,-0.1508009,-0.15472484,-3.911973,0.06233838,-3.9119723,3.8890579,-0.03539968,0.08254055678844452,0,0.03830976,3.9120230054281455,0.0018494452,1000.0,-3.911973,-3.8818123,0.13247049,1000,0.06411237,-38.98001030199398,-0.04418086193099953,-0.00900982,0.010001782,-0.0129160695,-0.04418086193099953,-38.98001030199398,1000,-3.889058,24.359776,0.8871324323117733,0.048687212,-0.04418086193099953,0.025703432,6.0341645e-06,1000,0.0013323767,0.0,7.1525574e-07,316.68797792401165,8.351334,0.0,-0.015965784,-0.0995471,1000.0,1,0.07177245,-0.037681103,0.0038069063
1,56.482613,-0.7061182,-0.12496425,0.3572506,-0.60823023,-0.07164956,-3.911973,0.024179127,-3.9119723,0.6944541,49.724037,8.215623057447374,0,53.962715,3.9120230054281455,1.1356853,1000.0,-3.911973,-0.6814759,0.31993687,2000,0.056642186,-32.90727659411466,-1.098868190200418,51.836185,0.020268451,60.919075,-1.098868190200418,-32.90727659411466,1000,-0.69445395,0.0027704025,0.8215197930112481,0.32666293,-1.098868190200418,1.092544,6.145723e-05,1000,0.0014690066,0.0,7.1525574e-07,326.7218863517046,0.06904969,0.0,58.721394,-0.5740715,1000.0,2,0.3146003,-0.002257343,0.006598352
2,94.673355,-1.186834,-0.081162706,0.41886455,-0.5576266,-0.05424814,-3.911973,0.0235985,-3.9119723,1.1123269,87.77431,8.280909617431462,0.9939580773934722,113.15121,3.9120230054281455,9.99526,1000.0,-3.911973,-0.9930116,0.55810285,3000,0.03802677,-32.896635661411715,-0.3192864400399561,103.016205,0.07764204,120.14787,-0.3192864400399561,-32.896635661411715,1000,-1.1123269,0.003878969,0.8029076959937811,0.3355922,-0.3192864400399561,9.944406,5.9932e-05,1000,0.0009159913,0.0,7.1525574e-07,336.78106054570526,-0.013400925,0.0,109.96281,-0.90432984,1000.0,3,0.5155535,-0.009879995,0.060026105
3,125.59473,-1.4845194,-0.059511334,0.4738745,-0.55625975,-0.03642194,-3.911973,0.011040077,-3.9119723,1.3812567,118.753105,7.649445304647088,0.9762631561607122,167.10966,3.9120230054281455,17.37367,1000.0,-3.911973,-1.315429,0.6417081,4000,0.01613091,-32.26827352517243,-0.42198159898329557,147.47404,0.11434868,174.18375,-0.42198159898329557,-32.26827352517243,1000,-1.3812566,0.007482984,0.7719946773722768,0.35582268,-0.42198159898329557,17.328548,6.517314e-05,1000,0.0010797987,0.0,7.1525574e-07,346.1319245537743,-0.13709918,0.0,154.47472,-1.233614,1000.0,4,0.6677027,-0.008545637,0.039640926
4,147.88724,-1.6638392,-0.06369011,0.48156944,-0.5605627,-0.028282512,-3.911973,0.010945897,-3.9119723,1.608557,141.02454,6.659314285032451,0.931548566557467,216.97754,3.9120230054281455,26.08718,1000.0,-3.911973,-1.5360987,0.7390866,5000,0.032236572,-32.26827352517243,-0.3212990577456232,192.24405,0.12487403,223.82059,-0.3212990577456232,-33.97974594616596,1000,-1.6085571,0.006532508,0.6457986421883106,0.3593435,-0.3212990577456232,26.105131,6.665668e-05,1000,0.0010666754,0.0,7.1525574e-07,354.33952998556197,0.11965017,0.0,199.07977,-1.235855,1000.0,5,0.6755423,-0.0030634054,0.04480842
5,184.26317,-1.9322091,-0.0527225,0.45991305,-0.55789506,-0.056960084,-3.911973,0.015404281,-3.9119723,1.794956,177.2237,6.834445924498141,0.9009789619594812,261.12256,3.9120230054281455,30.246971,1000.0,-3.911973,-1.7300587,0.9035407,6000,0.023240445,-32.26827352517243,-0.46466369127775164,225.43231,0.13754296,268.0731,-0.46466369127775164,-33.419706058491926,1000,-1.7949557,0.015581515,0.6614065608009696,0.3549246,-0.46466369127775164,30.268501,6.4514235e-05,1000,0.0017966821,0.0,7.1525574e-07,362.82112954277545,-0.18324418,0.0,232.5217,-1.2008163,1000.0,6,0.7168768,-0.006327095,0.056194346
6,200.23967,-1.9950109,-0.030202309,0.48700902,-0.56512207,-0.018570969,-3.911973,0.009605894,-3.9119723,1.9439871,193.4539,6.815511583350599,0.9884329494088888,300.9696,3.9120230054281455,34.69766,1000.0,-3.911973,-1.8805135,1.1101753,7000,0.030204263,-32.26827352517243,-0.37130378394066954,257.18997,0.15549767,308.02148,-0.37130378394066954,-35.035985389697785,1000,-1.9439871,0.0050733956,0.6553971031680703,0.3756248,-0.37130378394066954,34.67149,7.1049384e-05,1000,0.002521425,0.0,7.1525574e-07,371.4196620294824,0.07093219,0.0,264.05927,-1.3746771,1000.0,7,0.8421139,0.0005468802,0.028728299
7,237.66327,-2.615717,0.0024672523,0.5899443,-0.5865166,-0.017324872,-3.911973,0.009236915,-3.9119723,2.0482957,231.10971,7.105718574486673,1.1344758505001664,337.35663,3.9120230054281455,37.90411,1000.0,-3.911973,-0.072306626,1.4187552,8000,0.035154,-32.26827352517243,-0.1537185633297188,292.05365,0.19854355,344.32996,-0.1537185633297188,-32.618635313507816,1000,-2.0482955,0.008567734,0.6774838864803314,0.39964858,-0.1537185633297188,37.838486,7.991342e-05,1000,0.0015456434,0.0,7.1525574e-07,380.14915496855974,0.01068967,0.0,298.97498,-1.7834643,1000.0,8,1.0902475,0.0040574535,0.27778745
8,261.3955,-4.055562,0.0060894694,0.6715196,-0.62377185,-0.030405862,-3.911973,0.019605147,-3.9119723,1.8861041,254.48827,6.990466489456594,0.9389793779700994,370.79437,3.9120230054281455,41.38929,1000.0,-3.911973,-0.42234728,1.53456,9000,0.08509539,-32.26827352517243,-0.17138919314262502,318.43356,0.19445567,377.45267,-0.17138919314262502,-34.337337256468935,1000,-1.886104,0.007551684,0.679056447930634,0.42174527,-0.17138919314262502,41.454174,8.917797e-05,1000,0.0016624868,0.0,7.1525574e-07,388.7134745074436,0.11575787,0.0,325.27454,-1.8974457,1000.0,9,1.1167359,0.008090094,0.6535246
9,284.56516,-4.58262,-0.0088180145,0.54117256,-0.58793193,-0.014125658,-3.911973,0.011898133,-3.9119723,2.0140858,277.62503,6.865881773643196,0.8979640658944845,400.9703,3.9120230054281455,41.832687,1000.0,-3.911973,-0.38178706,1.3645743,10000,0.06256109,-32.26827352517243,-0.06621069119841891,350.0548,0.18073063,407.81232,-0.06621069119841891,-32.78667135543241,1000,-2.0140858,0.007929202,0.6897828094661236,0.40114224,-0.06621069119841891,41.863937,8.0601116e-05,1000,0.0021442645,0.0,7.1525574e-07,397.4500361327082,0.08329841,0.0,356.91156,-1.7498529,1000.0,10,1.0467871,0.008233909,0.70287544
