policy-reg-loss,vf-max,gmm-log-w-max,log_p_z-avg,gmm-log-sigs-mean,best_single_option_policy/return-std,best_single_option_policy/return-min,gmm-log-sigs-std,qf-min,time-train,vf-min,gmm-log-w-mean,log_p_z-min,episodes,qf-avg,gmm-log-w-std,qf-max,discriminator_reward-std,max-path-return,gmm-log-w-min,best_single_option_policy/episode-length-min,kl-surrogate-loss,best_single_option_policy/episode-length-std,gmm-mus-min,discriminator_reward-avg,best_single_option_policy/return-max,time-total,best_single_option_policy/return-average,qf-std,discriminator_reward-max,vf-loss,discriminator_reward-min,path-length,z-entropy,bellman-error,gmm-log-sigs-min,gmm-log-sigs-max,time-sample,discriminator-loss,time-eval,vf-avg,gmm-mus-max,pool-size,best_single_option_policy/episode-length-max,best_single_option_policy/episode-length-avg,log_p_z-std,last-path-return,vf-std,log_p_z-max,epoch,gmm-mus-std,gmm-mus-mean
6.2011923e-06,-0.012706021,0.14089654,-3.9119723,-0.06821875,0.0,-0.049167871043100324,0.048334558,-0.14974837,0.11469692829996347,-0.020463351,0.010320516,-3.911973,1,-0.10413627,0.07159831,-0.04882857,0.0037732485,-38.98038663944004,-0.099657364,1000,8.222343,0.0,-0.16699247,-3.888998,-0.049167871043100324,320.25915395561606,-0.049167871043100324,0.029253038,-3.880005,23.706247,-3.8970644,1000.0,3.9120230054281455,6.962467,-0.15886168,-0.015468193,0.7833893680945039,3.8889983,0,-0.015931483,0.06755643,1000,1000,1000.0,7.1525574e-07,-38.98038663944004,0.0017498356,-3.911973,0,0.06274459,-0.038411885
5.9350758e-05,55.732967,0.28158048,-3.9119723,-0.11438223,0.0,-0.4163364964403371,0.3239844,41.045784,6.574453542940319,47.948948,0.021029143,-3.911973,2,44.25331,0.33521962,48.606876,0.0058028423,-33.12778040446517,-0.61789113,1000,-0.052335154,0.0,-0.07840589,-0.6946442,-0.4163364964403371,328.6392061850056,-0.4163364964403371,1.6583302,-0.6800826,0.002106699,-0.7062807,1000.0,3.9120230054281455,0.00055201317,-0.59862393,0.3585502,0.7514978731051087,0.69464433,0,51.220337,0.077700906,2000,1000,1000.0,7.1525574e-07,-33.12778040446517,1.6980869,-3.911973,1,0.025473855,-0.0018435887
5.4710184e-05,107.283035,0.57073855,-3.9119723,-0.075152405,0.0,-0.587618730394718,0.3217371,65.163345,6.52068617939949,72.0835,0.055536196,-3.911973,3,85.02633,0.45861033,100.34296,0.06693359,-32.084525595446856,-0.803148,1000,0.0027276408,0.0,-0.064262524,-1.1130152,-0.587618730394718,336.91196811106056,-0.587618730394718,13.233178,-0.9842613,0.004698518,-1.2092416,1000.0,3.9120230054281455,0.00053809327,-0.55446845,0.39135143,0.7581485137343407,1.1130149,1.0566385937854648,91.99113,0.045803342,3000,1000,1000.0,7.1525574e-07,-32.084525595446856,13.204655,-3.911973,2,0.014259888,-0.0073742596
5.6904075e-05,150.33304,0.6860064,-3.9119723,-0.050395817,0.0,-0.5626983798024675,0.33308864,87.16011,6.414906300604343,94.16372,0.07231057,-3.911973,4,118.737595,0.5488144,143.50082,0.0394791,-32.084525595446856,-0.99092835,1000,0.008238535,0.0,-0.046980567,-1.3818524,-0.5626983798024675,345.04949356243014,-0.5626983798024675,19.720407,-1.30702,0.008810363,-1.4787637,1000.0,3.9120230054281455,0.00056063593,-0.5294926,0.45527574,0.7425587279722095,1.3818525,1.0051278164610267,125.62026,0.0360436,4000,1000,1000.0,7.1525574e-07,-33.98046864400798,19.699137,-3.911973,3,0.014033235,-0.0111083845
5.6974084e-05,186.54662,0.88213146,-3.9119723,-0.027992215,0.0,-0.3160596486324675,0.33521438,102.65634,6.392096549272537,109.741035,0.1141475,-3.911973,5,152.55466,0.6824553,179.55884,0.040344115,-32.084525595446856,-1.2519695,1000,0.12764306,0.0,-0.08538174,-1.6090882,-0.3160596486324675,353.12272038217634,-0.3160596486324675,26.72438,-1.5501432,0.0074149496,-1.6858611,1000.0,3.9120230054281455,0.0009784745,-0.5103852,0.46346506,0.7296348614618182,1.6090882,0.9688172014430165,159.42168,0.08538634,5000,1000,1000.0,7.1525574e-07,-33.002180471395036,26.671185,-3.911973,4,0.02771566,-0.0052692527
5.443209e-05,218.39337,0.7507185,-3.9119723,-0.04387749,0.0,-0.29282255158203374,0.32671466,128.49261,5.5828474229201674,135.44748,0.10353482,-3.911973,6,173.73961,0.61246336,211.3543,0.055585112,-32.084525595446856,-1.0914949,1000,-0.0017143509,0.0,-0.04773159,-1.794795,-0.29282255158203374,360.5409740405157,-0.29282255158203374,29.73222,-1.7310314,0.0022656876,-1.9169717,1000.0,3.9120230054281455,0.000457786,-0.5199874,0.43569812,0.6389991883188486,1.794795,0.952684716321528,180.67598,0.039401904,6000,1000,1000.0,7.1525574e-07,-34.70959443121427,29.749973,-3.911973,5,0.013217983,-0.004664772
5.7856414e-05,244.48177,0.7299976,-3.9119723,-0.039132204,0.0,-0.19316473796033123,0.33760414,137.47386,5.074079100042582,144.18309,0.10558646,-3.911973,7,193.78484,0.62255514,237.53178,0.058593262,-32.084525595446856,-1.0847256,1000,0.12970178,0.0,-0.0216047,-1.9355342,-0.19316473796033123,367.4709875928238,-0.19316473796033123,32.331715,-1.7003918,0.00942132,-2.147812,1000.0,3.9120230054281455,0.0032851233,-0.5214184,0.483913,0.5756930103525519,1.9355341,1.208310391753912,200.62077,0.052486658,7000,1000,1000.0,7.1525574e-07,-34.09044866065131,32.387554,-3.911973,6,0.01355155,0.004614814
5.7627734e-05,268.80798,0.6380043,-3.9119723,-0.0551811,0.0,-0.13454757849396692,0.33463973,165.72171,5.01926488801837,173.12865,0.09668515,-3.911973,8,217.82977,0.563033,261.6308,0.52873206,-32.084525595446856,-0.9595936,1000,-0.15011583,0.0,-0.053697444,-1.9054886,-0.13454757849396692,374.2632558979094,-0.13454757849396692,33.6438,-9.44093e-05,0.042504914,-3.3441489,1000.0,3.9120230054281455,0.041301247,-0.55540866,0.45495453,0.5833624880760908,1.9054886,1.274471439421177,224.89226,0.05583005,8000,1000,1000.0,7.1525574e-07,-33.90658684319872,33.58754,-3.911973,7,0.014879909,0.0023132162
5.535851e-05,291.19928,0.5521255,-3.9119723,-0.06448077,0.0,-0.11026863338815822,0.32625753,175.92667,4.999977424740791,183.84613,0.09901139,-3.911973,9,235.31259,0.50871754,283.50058,0.7334237,-32.084525595446856,-0.8761697,1000,-0.43546373,0.0,-0.046361282,-1.7675698,-0.11026863338815822,381.0792462816462,-0.11026863338815822,35.77154,-0.008874263,0.20221025,-4.3009377,1000.0,3.9120230054281455,0.20845519,-0.5629781,0.4556719,0.5776738589629531,1.7675698,1.1880708606913686,242.58391,0.04517993,9000,1000,1000.0,7.1525574e-07,-33.87760989321887,35.963577,-3.911973,8,0.010539944,-0.0020441916
5.956511e-05,310.8495,0.52238214,-3.9119723,-0.077044144,0.0,-0.028249574239717037,0.33624867,191.06299,5.139839829877019,197.35495,0.10038923,-3.911973,10,257.5896,0.5001535,303.57907,0.81670606,-32.084525595446856,-0.8552702,1000,0.058723383,0.0,-0.018537834,-2.0036154,-0.028249574239717037,388.08919061440974,-0.028249574239717037,35.747524,-0.0027652855,0.06390062,-4.874076,1000.0,3.9120230054281455,0.16566601,-0.57849693,0.4387936,0.58469801209867,2.0036154,1.253058087080717,264.48398,0.032701146,10000,1000,1000.0,7.1525574e-07,-33.16827231461021,35.856544,-3.911973,9,0.0092818355,0.0067162607
6.11569e-05,328.21625,0.49511108,-3.9119723,-0.076142065,0.0,-0.04269608913088874,0.3411158,205.44298,5.114710769616067,211.62798,0.09419358,-3.911973,11,272.93106,0.47896644,321.95474,0.7762707,-32.084525595446856,-0.83123356,1000,1.0825762,0.0,-0.03031653,-1.9960241,-0.04269608913088874,717.0053929910064,-0.04269608913088874,35.29567,-0.004464777,0.5049398,-4.18018,1000.0,3.9120230054281455,0.19081438,-0.56521803,0.45142567,0.5870609972625971,1.9960241,1.2767799170687795,279.03442,0.03536968,11000,1000,1000.0,7.1525574e-07,-33.247992842977034,35.423992,-3.911973,10,0.012462898,0.0009372952
5.876894e-05,348.67218,0.43595925,-3.9119723,-0.08719561,0.0,-0.05381314483768556,0.33128408,229.74571,6.310360501520336,236.7263,0.08810271,-3.911973,12,296.66754,0.44561094,341.5575,0.7439418,-32.084525595446856,-0.7490376,1000,-0.09662009,0.0,-0.030396737,-1.9688026,-0.05381314483768556,724.9851858420298,-0.05381314483768556,35.004047,-0.00028475045,0.14601502,-4.4689693,1000.0,3.9120230054281455,0.16454282,-0.57875514,0.39693952,0.718673431314528,1.9688026,323.20942171569914,303.6104,0.05034224,12000,1000,1000.0,7.1525574e-07,-34.13637430261406,34.92714,-3.911973,11,0.013624249,-4.2093525e-05
6.018496e-05,367.5452,0.5751892,-3.9119723,-0.07976325,0.0,-0.06281386955913071,0.33694324,224.96089,6.503110894933343,233.62752,0.11011558,-3.911973,13,306.81293,0.5142604,359.97543,0.7451005,-31.203792225634437,-0.91815454,1000,-0.9142101,0.0,-0.063560955,-1.8917382,-0.06281386955913071,733.1669864663854,-0.06281386955913071,33.528183,-0.0033251732,0.41490385,-4.221842,1000.0,3.9120230054281455,0.17117102,-0.5924029,0.485602,0.7391290748491883,1.8917383,0.9506073277443647,314.45618,0.07255442,13000,1000,1000.0,7.1525574e-07,-31.203792225634437,33.360355,-3.911973,12,0.021767989,-0.00176482
5.8936057e-05,383.5688,0.45600858,-3.9119723,-0.08537976,0.0,-0.04667658901175713,0.33194274,235.16449,6.569056152366102,242.88026,0.09620109,-3.911973,14,318.24066,0.46390826,376.57153,0.652185,-31.203792225634437,-0.7821505,1000,-0.37105983,0.0,-0.06967084,-2.0835376,-0.04667658901175713,741.5161642860621,-0.04667658901175713,39.92666,-0.3153062,0.29131538,-4.028972,1000.0,3.9120230054281455,0.113921575,-0.5880706,0.4111738,0.7513209404423833,2.0835376,0.9418756356462836,325.39163,0.049046922,14000,1000,1000.0,7.1525574e-07,-34.15242485405212,39.718967,-3.911973,13,0.017369894,-0.009732519
6.658821e-05,398.09064,0.47592154,-3.9119723,-0.08002402,0.0,-0.09228408358323818,0.35507214,254.05312,6.449101720005274,261.5436,0.10581197,-3.911973,15,337.28552,0.4932214,390.78638,0.7000273,-31.203792225634437,-0.815699,1000,-0.45636803,0.0,-0.072199546,-2.003077,-0.09228408358323818,749.6976348031312,-0.09228408358323818,36.716072,-0.27138034,0.26079533,-3.923582,1000.0,3.9120230054281455,0.07889948,-0.60259783,0.46084845,0.7463170997798443,2.003077,1.0289551438763738,344.552,0.04974906,15000,1000,1000.0,7.1525574e-07,-34.07498151084161,36.772682,-3.911973,14,0.022166802,-0.014316147
6.0390164e-05,410.30994,0.47373962,-3.9119723,-0.0889321,0.0,-0.00998924778825483,0.335258,268.94098,4.961109044030309,276.27502,0.09900713,-3.911973,16,347.0923,0.4792316,403.22195,0.7668612,-31.203792225634437,-0.82194394,1000,-0.50823927,0.0,-0.06913396,-2.0488262,-0.00998924778825483,756.3607548279688,-0.00998924778825483,34.44386,-0.2460272,0.3673327,-4.2304764,1000.0,3.9120230054281455,0.10725689,-0.592963,0.40834948,0.5813429011031985,2.0488265,0.9879189599305391,354.37155,0.059463043,16000,1000,1000.0,7.1525574e-07,-34.30567799918443,34.38627,-3.911973,15,0.021232456,-0.0047635185
