best_single_option_policy/episode-length-avg,time-eval,gmm-log-w-mean,epoch,vf-std,discriminator_reward-std,last-path-return,best_single_option_policy/return-std,gmm-log-w-min,vf-avg,gmm-log-sigs-min,discriminator_reward-min,vf-max,best_single_option_policy/return-average,time-total,gmm-log-w-max,discriminator-loss,log_p_z-avg,best_single_option_policy/episode-length-min,kl-surrogate-loss,gmm-log-w-std,gmm-mus-mean,gmm-log-sigs-mean,log_p_z-min,qf-avg,vf-loss,pool-size,qf-min,best_single_option_policy/episode-length-std,best_single_option_policy/return-max,vf-min,policy-reg-loss,gmm-log-sigs-std,time-sample,time-train,episodes,gmm-mus-max,gmm-log-sigs-max,gmm-mus-min,qf-std,log_p_z-max,z-entropy,best_single_option_policy/episode-length-max,log_p_z-std,gmm-mus-std,max-path-return,path-length,discriminator_reward-max,qf-max,bellman-error,discriminator_reward-avg,best_single_option_policy/return-min
1000.0,0,0.023716858,0,0.15181075,0.19412385,-2.518701547399108,0.0,-0.3620693,-0.08258703,-0.53741187,-0.55573416,0.21759638,-10.795936221568185,494.9598735505715,1.0236928,3.9014883,-3.9119723,1000,0.036425807,0.17242385,0.01452278,0.007136882,-3.911973,-0.18980679,0.03897886,1000,-0.9520068,0.0,-10.795936221568185,-0.53609604,2.2368728e-05,0.15092383,0.8594339108094573,0.06204370595514774,1,0.77332,0.81420493,-0.536201,0.19486162,-3.911973,3.9120230054281455,1000,7.1525574e-07,0.14730108,-2.518701547399108,1000.0,0.43291926,0.13185601,0.025699586,0.010484606,-10.795936221568185
1000.0,0,-0.047072805,1,4.8247404,0.22905433,20.030092001272536,0.0,-6.636301,34.948345,-1.3561282,2.6781256,45.9578,-7.066599864572698,502.85228635556996,6.2876368,0.12509689,-3.9119723,1000,-0.028689109,2.40065,-0.16212597,-0.37981483,-3.911973,34.39138,0.083463535,2000,27.672466,0.0,-7.066599864572698,27.578558,0.0016441173,0.35259536,0.8637427082285285,5.779609385877848,2,4.123492,0.6002415,-3.7534142,3.8603437,-3.911973,3.9120230054281455,1000,7.1525574e-07,1.7301348,20.030092001272536,1000.0,3.9119563,42.71363,0.0884812,3.7868762,-7.066599864572698
1000.0,1.250350915826857,-0.36057365,2,11.820036,0.47869933,-9.2959435916447,0.0,-7.460142,63.420288,-2.5793853,0.64531755,91.44443,17.867180410983213,510.78726115450263,5.6093493,0.20778283,-3.9119723,1000,-1.2127117,2.753142,0.23198938,-0.38770372,-3.911973,62.72944,0.2595798,3000,45.89536,0.0,17.867180410983213,45.07002,0.0017203145,0.48986965,0.8950131144374609,5.788775033317506,3,6.060694,1.0299456,-3.2790778,11.443225,-3.911973,3.9120230054281455,1000,7.1525574e-07,1.731047,20.030092001272536,1000.0,3.911973,89.59863,0.17125449,3.7041903,17.867180410983213
1000.0,1.2639784263446927,-0.5953655,3,17.37484,0.35915205,23.936820121320146,0.0,-8.646373,96.2484,-2.0512555,0.36210275,135.48132,25.845409596935333,518.9042232707143,6.6729264,0.109065264,-3.9119723,1000,-0.62696123,2.998423,0.8410285,-0.48195127,-3.911973,95.1808,0.3303053,4000,71.03607,0.0,25.845409596935333,71.34062,0.0019290674,0.39376184,0.8979130629450083,6.002320056781173,4,5.249828,0.78740925,-4.0118866,16.347658,-3.911973,3.9120230054281455,1000,7.1525574e-07,1.6623719,23.936820121320146,1000.0,3.9119623,132.7652,0.23289835,3.8029077,25.845409596935333
1000.0,1.204860114492476,-0.72533333,4,23.015182,0.27768996,-25.077001908432944,0.0,-10.0,126.061066,-1.8327497,1.877953,173.60704,-28.30704488229021,527.1893802462146,7.3202987,0.11307606,-3.9119723,1000,1.4703528,3.2636898,0.8063066,-0.51682633,-3.911973,126.18247,0.7055371,5000,95.714516,0.0,-28.30704488229021,94.364204,0.0021487253,0.49893153,0.9431898733600974,6.095790334045887,5,4.5498633,1.4752656,-4.676575,22.189184,-3.911973,3.9120230054281455,1000,7.1525574e-07,1.7695416,23.936820121320146,1000.0,3.911973,173.35413,0.34565526,3.7988968,-28.30704488229021
1000.0,1.247543198056519,-0.6725093,5,26.41826,0.4426643,9.496781844770785,0.0,-8.672234,144.61133,-1.9558796,0.27958393,211.41576,2.790990687268189,535.5806107623503,8.66634,0.19833888,-3.9119723,1000,0.57558703,2.992717,0.48217416,-0.36992124,-3.911973,144.5979,0.35648268,6000,102.059494,0.0,2.790990687268189,100.59035,0.0016346604,0.48948342,0.8878736980259418,6.009617632254958,6,4.0484233,1.4479277,-6.6201153,25.984535,-3.911973,3.9120230054281455,1000,7.1525574e-07,1.6310712,23.936820121320146,1000.0,3.9119728,211.4032,0.25608277,3.713634,2.790990687268189
1000.0,1.4946369780227542,-0.7405486,6,25.67209,0.30720177,-5.67273102076602,0.0,-10.0,168.65825,-2.10022,2.378253,247.64589,43.135378366778404,543.4002110948786,13.613793,0.15301713,-3.9119723,1000,0.014924452,4.162795,0.34244725,-0.5178274,-3.911973,168.25345,0.4676723,7000,131.6476,0.0,43.135378366778404,131.15866,0.002397054,0.5119394,0.8217072281986475,5.290412749163806,7,4.7596874,1.5349352,-8.452625,25.282658,-3.911973,3.9120230054281455,1000,7.1525574e-07,2.0363228,23.936820121320146,1000.0,3.9119523,246.55382,0.22071917,3.758956,43.135378366778404
1000.0,1.7175098825246096,-1.0358361,7,29.54354,0.5895192,-24.59028057574,0.0,-10.0,189.89209,-2.2045474,0.17690086,272.65326,-25.983910949695435,551.1856724973768,14.362469,0.33920234,-3.9119723,1000,-0.7905506,4.1172724,0.47451794,-0.30874372,-3.911973,189.18552,0.5629223,8000,144.40186,0.0,-25.983910949695435,144.40938,0.001922352,0.5061758,0.873184097930789,5.504149381071329,8,4.5098486,1.3056632,-7.591889,29.172012,-3.911973,3.9120230054281455,1000,7.1525574e-07,1.8077613,23.936820121320146,1000.0,3.9119725,270.01727,0.31442493,3.5727706,-25.983910949695435
1000.0,1.4063172899186611,-0.90477395,8,32.877266,0.4726052,-17.352112122432107,0.0,-10.0,204.2952,-1.8415004,1.4575088,292.44888,-26.2254335032654,559.03986229375,14.353737,0.24200737,-3.9119723,1000,0.33718947,4.533489,0.11176576,-0.39644778,-3.911973,204.34073,0.41870058,9000,163.6299,0.0,-26.2254335032654,163.08989,0.0015430261,0.4126273,0.8755613341927528,5.485792255029082,9,4.799577,1.102544,-5.6713424,32.18185,-3.911973,3.9120230054281455,1000,7.1525574e-07,1.6571447,23.936820121320146,1000.0,3.9119728,291.32397,0.35670036,3.6699657,-26.2254335032654
1000.0,1.4868648098781705,-1.0346891,9,40.212444,0.5130684,24.344890145728467,0.0,-10.0,223.9241,-2.0067573,0.18372035,329.1231,-22.535144913473133,567.5222863666713,12.86178,0.25113374,-3.9119723,1000,-0.18067262,4.3024535,0.33200502,-0.41268933,-3.911973,223.4837,0.3495566,10000,165.15536,0.0,-22.535144913473133,166.3972,0.0016236402,0.4672983,0.9418363776057959,6.294862081296742,10,4.4854283,1.097799,-5.2612443,39.56956,-3.911973,3.9120230054281455,1000,7.1525574e-07,1.6578217,24.344890145728467,1000.0,3.911964,326.08014,0.27697486,3.6608393,-22.535144913473133
