vf-max,best_single_option_policy/return-average,vf-avg,discriminator_reward-min,gmm-log-sigs-mean,kl-surrogate-loss,discriminator_reward-max,gmm-log-w-std,qf-avg,episodes,max-path-return,qf-min,policy-reg-loss,best_single_option_policy/return-std,epoch,best_single_option_policy/return-min,best_single_option_policy/episode-length-min,discriminator-loss,gmm-log-w-min,gmm-mus-mean,qf-std,log_p_z-std,time-sample,gmm-log-w-mean,gmm-log-w-max,vf-min,gmm-mus-std,z-entropy,best_single_option_policy/return-max,last-path-return,vf-std,vf-loss,discriminator_reward-std,time-train,discriminator_reward-avg,log_p_z-max,best_single_option_policy/episode-length-avg,time-eval,log_p_z-min,pool-size,log_p_z-avg,bellman-error,gmm-mus-min,gmm-mus-max,qf-max,best_single_option_policy/episode-length-max,gmm-log-sigs-std,time-total,best_single_option_policy/episode-length-std,gmm-log-sigs-max,path-length,gmm-log-sigs-min
0.43326086,13.018355699340699,-0.023656536,-0.57293034,-0.0047188615,35.617203,0.44603562,0.17106295,-0.096029386,1,-5.810652833083751,-0.9953908,2.289272e-05,0.0,0,13.018355699340699,1000,3.8956323,-0.37839603,0.017502397,0.2535001,7.1525574e-07,0.8409950518980622,0.026540127,1.1319002,-0.62313074,0.1472991,3.9120230054281455,13.018355699340699,-5.810652833083751,0.21152508,94.23774,0.19618583,0.06421745382249355,0.01634062,-3.911973,1000.0,0,-3.911973,1000,-3.9119723,0.13445085,-0.4864955,0.7945303,0.37824112,1000,0.1541422,540.2729066647589,0.0,0.8221641,1000.0,-0.6458908
167.90268,26.824220855143253,148.52716,2.3227558,-0.10973962,1.5480789,3.9119642,0.24393195,134.82108,2,28.85376030189089,119.217896,5.0713803e-05,0.0,1,26.824220855143253,1000,0.23769072,-0.4319711,-0.0726154,7.488635,7.1525574e-07,0.9245517728850245,0.056413658,0.8264368,135.42737,0.14839953,3.9120230054281455,26.824220855143253,28.85376030189089,6.7471094,1.2915497,0.39593524,5.768396535888314,3.6742823,-3.911973,1000.0,0,-3.911973,2000,-3.9119723,0.45875782,-0.46218175,0.36803228,158.12764,1000,0.24917744,548.5602643098682,0.0,0.41122225,1000.0,-0.7202058
330.10913,26.694532873662677,276.29596,2.1778948,-0.09265451,-1.8934122,3.9119647,0.3874757,261.83688,3,28.85376030189089,214.44882,4.8554382e-05,0.0,2,26.694532873662677,1000,0.20258944,-0.7627557,-0.07401724,28.779097,7.1525574e-07,0.9424298815429211,0.050369233,0.99869335,226.51407,0.11221463,3.9120230054281455,26.694532873662677,-2.863622440391824,29.149685,1.3265251,0.32384902,5.9009770499542356,3.7093835,-3.911973,1000.0,1.600142420269549,-3.911973,3000,-3.9119723,0.7353153,-0.35691437,0.3869441,312.7495,1000,0.26543027,556.8666403144598,0.0,0.47472745,1000.0,-0.58678573
450.6556,13.688643889329501,386.46066,2.0309184,-0.08149373,-0.45075768,3.9119704,0.41902125,372.903,4,28.85376030189089,280.1913,5.2740612e-05,0.0,3,13.688643889329501,1000,0.21892042,-0.5840678,-0.061527662,48.961388,7.1525574e-07,0.9710549116134644,0.06771738,0.91855675,295.009,0.12599537,3.9120230054281455,13.688643889329501,-17.568617830221935,48.816555,0.74798787,0.3430674,5.973802221007645,3.6930525,-3.911973,1000.0,1.4605839075520635,-3.911973,4000,-3.9119723,1.3121111,-0.5465376,0.36097518,440.24652,1000,0.28138855,565.3072090642527,0.0,0.47712114,1000.0,-0.6213468
590.8566,10.469415662154315,503.10556,0.959501,-0.096400484,0.78526235,3.911973,0.3824111,489.56973,5,31.08842922861011,351.17215,5.4628934e-05,0.0,4,10.469415662154315,1000,0.2909214,-0.58671474,-0.040505692,66.02607,7.1525574e-07,0.954656251706183,0.073137686,0.97634995,363.1501,0.12453713,3.9120230054281455,10.469415662154315,31.08842922861011,65.42794,1.4253035,0.49766472,5.883778627030551,3.6210518,-3.911973,1000.0,1.491621719673276,-3.911973,5000,-3.9119723,0.9853259,-0.36291954,0.3613121,580.4673,1000,0.28777525,573.6616628943011,0.0,0.42375222,1000.0,-0.63092035
708.2799,15.098240274088223,589.9182,0.29498386,-0.10918462,-1.5010276,3.911973,0.35601506,575.3115,6,36.56689421844124,438.78732,5.797397e-05,0.0,5,15.098240274088223,1000,0.3133222,-0.5481622,0.0010942183,71.98574,7.1525574e-07,0.9345253081992269,0.06731194,0.8807725,454.254,0.1444626,3.9120230054281455,15.098240274088223,36.56689421844124,73.40716,2.3185804,0.54890007,5.809914053417742,3.598651,-3.911973,1000.0,1.527277602814138,-3.911973,6000,-3.9119723,0.80773866,-0.33471796,0.36359233,687.9152,1000,0.28836787,581.8814750974998,0.0,0.4641465,1000.0,-0.6491369
807.43536,24.50949986526887,673.9607,1.587599,-0.11841667,0.9655587,3.911973,0.3003519,659.7122,7,36.56689421844124,512.7404,5.5419394e-05,0.0,6,24.50949986526887,1000,0.356408,-0.5875027,0.013024762,78.90898,7.1525574e-07,0.9272654829546809,0.061277427,0.58003867,525.65204,0.15368392,3.9120230054281455,24.50949986526887,12.401333772696189,78.202675,1.0298607,0.4725878,5.781868709251285,3.5555649,-3.911973,1000.0,1.4766132198274136,-3.911973,7000,-3.9119723,1.0956577,-0.32427713,0.45988297,790.6114,1000,0.2702367,590.0840864516795,0.0,0.3760985,1000.0,-0.6140952
901.43365,6.9882947761167955,759.15283,1.0817852,-0.118700705,0.3777807,3.9119728,0.33165032,745.87354,8,36.56689421844124,556.3408,6.3167434e-05,0.0,7,6.9882947761167955,1000,0.4374858,-0.52650803,-0.034401417,90.7847,7.1525574e-07,0.9066655160859227,0.050946373,0.80256444,572.31464,0.15427592,3.9120230054281455,6.9882947761167955,32.179473155194174,91.04448,1.194142,0.5949258,5.688462569378316,3.4744873,-3.911973,1000.0,1.484324493445456,-3.911973,8000,-3.9119723,0.7778028,-0.31623074,0.43760458,891.5675,1000,0.2953989,598.1083846082911,0.0,0.37245813,1000.0,-0.65140605
989.34265,25.410263429616233,824.8165,0.8989465,-0.120196946,0.77242434,3.911973,0.3170857,811.3714,9,36.56689421844124,621.24603,6.6030596e-05,0.0,8,25.410263429616233,1000,0.51028174,-0.54278356,-0.02520131,102.589195,7.1525574e-07,0.907709077000618,0.040044144,0.6271509,633.58185,0.17355503,3.9120230054281455,25.410263429616233,9.388247698383559,103.28332,2.2111163,0.6494443,5.698718053288758,3.401691,-3.911973,1000.0,1.4365813918411732,-3.911973,9000,-3.9119723,1.1899433,-0.39489263,0.40463346,975.4291,1000,0.29471588,606.2863386431709,0.0,0.4016029,1000.0,-0.6780541
1050.7981,17.387711984497265,901.09863,0.48691988,-0.12449183,2.118452,3.911973,0.28726995,888.73236,10,36.56689421844124,693.4985,6.15291e-05,0.0,9,17.387711984497265,1000,0.64564294,-0.46470702,-0.004351921,105.004555,7.1525574e-07,0.9385162042453885,0.048400566,0.54864055,705.33673,0.17056215,3.9120230054281455,17.387711984497265,10.691097828140121,105.331314,2.304069,0.6833735,5.848487188108265,3.26633,-3.911973,1000.0,1.5679402519017458,-3.911973,10000,-3.9119723,0.904178,-0.35081497,0.37620196,1041.0846,1000,0.28008857,614.4650458656251,0.0,0.3496042,1000.0,-0.67570657
