log_p_z-max,log_p_z-std,gmm-log-sigs-min,gmm-mus-mean,vf-min,policy-reg-loss,qf-min,qf-std,gmm-log-w-max,discriminator_reward-avg,vf-max,z-entropy,vf-std,gmm-log-sigs-std,log_p_z-min,best_single_option_policy/return-max,gmm-log-w-min,best_single_option_policy/episode-length-std,pool-size,time-train,epoch,best_single_option_policy/return-average,vf-loss,gmm-log-sigs-max,best_single_option_policy/episode-length-avg,discriminator_reward-max,vf-avg,gmm-log-sigs-mean,gmm-log-w-std,bellman-error,path-length,gmm-mus-std,time-eval,gmm-log-w-mean,discriminator_reward-std,best_single_option_policy/episode-length-min,gmm-mus-min,qf-avg,discriminator-loss,gmm-mus-max,kl-surrogate-loss,last-path-return,time-total,best_single_option_policy/episode-length-max,log_p_z-avg,time-sample,qf-max,best_single_option_policy/return-std,discriminator_reward-min,episodes,max-path-return,best_single_option_policy/return-min
-3.911973,7.1525574e-07,-0.56313634,0.014101938,-0.56502175,2.3410757e-05,-0.9723402,0.2468088,1.0957044,0.021792399,0.21086825,3.9120230054281455,0.16103815,0.15511495,-3.911973,-8.884557974335902,-0.3704859,0.0,1000,0.07648924738168716,0,-8.884557974335902,0.07102155,0.89506704,1000.0,0.47921276,-0.08704099,0.016779372,0.16475816,0.02768784,1000.0,0.1492664,0,0.024148203,0.2024455,1000,-0.55798376,-0.084460765,3.8901806,0.7263187,0.36843055,-4.848701432689992,500.4026054106653,1000,-3.9119723,0.9656689539551735,0.36048925,0.0,-0.6088834,1,-4.848701432689992,-8.884557974335902
-3.911973,7.1525574e-07,-1.5652026,-0.3636766,23.389803,0.0014862376,23.933764,4.098281,7.2378545,3.7809162,40.89038,3.9120230054281455,4.739167,0.5228111,-3.911973,-18.43184947369433,-5.584674,0.0,2000,5.4240642031654716,1,-18.43184947369433,0.1750893,1.4917622,1000.0,3.911973,33.65906,-0.2046063,2.152685,0.080162525,1000.0,1.589031,0,-0.22591984,0.20804355,1000,-4.0463347,33.55888,0.13105652,3.2533696,0.49165407,-16.354577381734593,508.12141520157456,1000,-3.9119723,0.8336040126159787,39.7203,0.0,2.6232421,2,-4.848701432689992,-18.43184947369433
-3.911973,7.1525574e-07,-1.7911398,-0.6699816,37.435795,0.0013491523,36.3147,10.533012,5.7593164,3.583827,82.92465,3.9120230054281455,10.95108,0.4008258,-3.911973,15.168378151428383,-6.099138,0.0,3000,5.60178364533931,2,15.168378151428383,0.14750262,0.94439733,1000.0,3.91195,61.67295,-0.38358924,2.099026,0.11149817,1000.0,1.3934228,1.462524733506143,-0.28246865,0.42534024,1000,-3.4678135,61.716934,0.32814592,3.1849165,0.93097913,1.84007930509497,516.110654534772,1000,-3.9119723,0.8847854537889361,82.37798,0.0,1.0421865,3,1.84007930509497,15.168378151428383
-3.911973,7.1525574e-07,-1.695417,-0.66636014,63.646355,0.0017141593,63.32827,13.720747,6.2298994,3.730791,132.37492,3.9120230054281455,14.199926,0.3765428,-3.911973,14.389266541781433,-6.278397,0.0,4000,5.628911311738193,3,14.389266541781433,0.14487886,0.7080265,1000.0,3.9119434,94.598724,-0.4348769,2.8738153,0.21662623,1000.0,1.6289198,1.5126037430018187,-0.48253256,0.32202557,1000,-4.9741507,93.9495,0.181182,3.4716933,-0.29900098,25.189838058265526,524.1668846504763,1000,-3.9119723,0.8961874479427934,129.92168,0.0,1.8951514,4,25.189838058265526,14.389266541781433
-3.911973,7.1525574e-07,-1.6515508,-0.3162783,83.75726,0.0016762406,82.72027,18.61096,5.468157,3.5411782,179.84837,3.9120230054281455,19.399067,0.3796706,-3.911973,11.599557947861474,-8.473866,0.0,5000,5.58166051004082,4,11.599557947861474,0.18862829,0.7291961,1000.0,3.9119554,124.05621,-0.3514693,2.7393782,0.2657742,1000.0,1.7276484,1.5420484971255064,-0.5320324,0.3740456,1000,-4.114495,123.36306,0.37079474,5.0548797,0.17591177,16.10840194874482,532.4346409142017,1000,-3.9119723,0.8864734452217817,177.70163,0.0,2.38097,5,25.189838058265526,11.599557947861474
-3.911973,7.1525574e-07,-1.9148341,-0.16535583,105.9671,0.0012552647,105.8269,25.799196,5.9343214,3.2673697,255.71648,3.9120230054281455,27.1509,0.40404326,-3.911973,11.388981020481822,-8.864647,0.0,6000,5.780036232434213,5,11.388981020481822,0.39504522,0.7574826,1000.0,3.911973,145.97688,-0.44426,2.6193707,0.45291713,1000.0,1.4569038,1.7932419264689088,-0.64468443,0.4865522,1000,-4.003144,145.44656,0.64460325,4.888866,0.8237517,19.660131519661398,540.678466395475,1000,-3.9119723,0.9267852129414678,253.02242,0.0,2.2044113,6,25.189838058265526,11.388981020481822
-3.911973,7.1525574e-07,-1.6557578,0.06678512,130.21326,0.0012258268,129.71777,33.82537,6.235021,3.3298676,298.41998,3.9120230054281455,34.699577,0.36281934,-3.911973,28.852578722320967,-9.067571,0.0,7000,5.6432995880022645,6,28.852578722320967,0.33845752,0.6173649,1000.0,3.91194,170.32129,-0.3846184,3.00826,0.5287916,1000.0,1.4722854,1.5397867280989885,-0.817804,0.50168455,1000,-3.9231184,169.13406,0.5821054,4.912074,-0.93647313,24.599479681864413,548.7371638389304,1000,-3.9119723,0.9062335779890418,293.91104,0.0,1.6315575,7,25.189838058265526,28.852578722320967
-3.911973,7.1525574e-07,-1.7703564,0.3791702,132.9671,0.0014933111,133.07805,44.233578,7.907083,3.334186,336.99503,3.9120230054281455,45.455933,0.43877012,-3.911973,30.056587628203957,-10.0,0.0,8000,5.704029947519302,7,30.056587628203957,0.675861,0.87597483,1000.0,3.911973,198.22546,-0.37712103,3.3862045,0.44980374,1000.0,1.5837021,1.4972699983045459,-0.93490887,0.42861968,1000,-4.1641192,198.16049,0.5777868,4.6783915,0.90660274,25.59349399461589,557.0453610680997,1000,-3.9119723,0.908751230686903,335.2388,0.0,2.0234287,8,25.59349399461589,30.056587628203957
-3.911973,7.1525574e-07,-1.7829125,0.5701603,151.68726,0.0016312719,148.47304,43.39693,9.301568,3.4251156,363.6535,3.9120230054281455,43.809723,0.4065001,-3.911973,53.385511362748765,-9.359413,0.0,9000,5.766907104291022,8,53.385511362748765,0.40787926,1.0814317,1000.0,3.9119713,217.64803,-0.34569642,3.5164158,0.22941792,1000.0,1.6287152,1.7086478592827916,-1.0623922,0.42325357,1000,-3.2309432,217.36288,0.48685747,3.9457304,1.0095305,7.279889765953782,565.2998258695006,1000,-3.9119723,0.923725750297308,366.10657,0.0,2.2703278,9,25.59349399461589,53.385511362748765
-3.911973,7.1525574e-07,-1.7561203,0.7800375,179.06905,0.0019651374,177.41084,54.2112,10.184258,3.3135307,398.49658,3.9120230054281455,55.230965,0.38300487,-3.911973,26.278800393842758,-10.0,0.0,10000,5.635250738821924,9,26.278800393842758,1.2606289,1.1229539,1000.0,3.911973,237.95096,-0.4098184,3.820503,0.51784426,1000.0,1.73412,1.566033556126058,-1.2873946,0.6778949,1000,-2.793738,236.16074,0.5984423,7.4585686,-1.5696986,21.68016053113893,573.3729883506894,1000,-3.9119723,0.8986388090997934,391.2672,0.0,-0.96585274,10,25.59349399461589,26.278800393842758
